time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220120:0510,0.0,0.0,2.18,4.9
20220120:0610,0.0,0.0,2.05,4.83
20220120:0710,0.0,0.0,2.2,5.03
20220120:0810,130.91,5.1,2.26,4.9
20220120:0910,303.67,11.48,2.3,4.83
20220120:1010,441.44,16.1,2.65,4.76
20220120:1110,239.13,18.58,2.98,5.17
20220120:1210,604.0,18.66,3.44,5.79
20220120:1310,85.6,16.34,2.86,5.66
20220120:1410,43.04,11.84,3.05,5.38
20220120:1510,230.91,5.56,2.62,5.17
20220120:1610,0.0,0.0,1.98,4.76
20220120:1710,0.0,0.0,1.49,4.55
20220120:1810,0.0,0.0,1.18,4.21
20220120:1910,0.0,0.0,1.05,4.21
20220120:2010,0.0,0.0,0.84,4.14
20220120:2110,0.0,0.0,0.7,4.07
20220120:2210,0.0,0.0,0.63,3.72
20220120:2310,0.0,0.0,0.3,3.38
20220121:0010,0.0,0.0,-0.12,3.17
20220121:0110,0.0,0.0,-0.36,3.17
20220121:0210,0.0,0.0,-0.46,2.97
20220121:0310,0.0,0.0,-0.62,2.83
20220121:0410,0.0,0.0,-0.52,2.9
20220121:0510,0.0,0.0,-0.38,2.83
20220121:0610,0.0,0.0,-0.33,2.83
20220121:0710,0.0,0.0,-0.52,2.62
20220121:0810,105.81,5.25,-0.5,2.62
20220121:0910,269.67,11.65,0.37,2.55
20220121:1010,125.92,16.3,1.59,3.45
20220121:1110,122.24,18.79,2.66,3.59
20220121:1210,282.78,18.89,3.43,3.59
20220121:1310,53.11,16.57,3.85,3.79
20220121:1410,33.88,12.07,3.87,3.59
20220121:1510,22.89,5.79,3.8,3.52
20220121:1610,0.0,0.0,3.85,3.59
20220121:1710,0.0,0.0,3.92,3.66
20220121:1810,0.0,0.0,3.92,3.79
20220121:1910,0.0,0.0,3.7,3.52
20220121:2010,0.0,0.0,3.74,3.93
20220121:2110,0.0,0.0,3.54,4.21
20220121:2210,0.0,0.0,3.21,4.14
20220121:2310,0.0,0.0,2.9,4.14
20220122:0010,0.0,0.0,2.68,4.07
20220122:0110,0.0,0.0,2.54,4.14
20220122:0210,0.0,0.0,2.57,4.14
20220122:0310,0.0,0.0,2.78,4.07
20220122:0410,0.0,0.0,3.09,4.0
20220122:0510,0.0,0.0,3.44,4.0
20220122:0610,0.0,0.0,3.75,3.79
20220122:0710,0.0,0.0,3.35,3.31
20220122:0810,79.49,5.41,3.56,3.24
20220122:0910,146.79,11.83,3.88,3.03
20220122:1010,87.45,16.5,4.27,3.03
20220122:1110,87.91,19.01,4.78,3.45
20220122:1210,84.25,19.12,5.34,3.52
20220122:1310,52.2,16.8,5.51,3.79
20220122:1410,32.05,12.31,5.77,3.59
